application_number;application_date;registration_date;application_language_code;second_language_code;expiry_date;name
124;018005716;2019-01-03;2019-05-03;en;es;2029-01-03;VEEV TOBACCO HARMONY
125;018005717;2019-01-03;2019-04-30;en;es;2029-01-03;SAVOURY SIZZLE
126;018005719;2019-01-03;2019-05-03;en;es;2029-01-03;VEEV SUMMER GARDEN
127;018005720;2019-01-03;2019-05-02;en;es;2029-01-03;VEEV SUNSET ESCAPE
128;018005721;2019-01-03;2019-05-03;en;es;2029-01-03;VEEV RED BERRY FUSION
129;018005723;2019-01-03;2019-05-03;en;es;2029-01-03;VEEV PLUS
130;018005728;2019-01-03;2019-06-05;nl;en;2029-01-03;BOLSIUS. LIGHTS FROM THE HEART
131;018005735;2019-01-03;2019-05-24;en;fr;2029-01-03;CHAMELEON
132;018005736;2019-01-03;2019-05-24;en;fr;2029-01-03;COLOURBRAIN
133;018005737;2019-01-03;2019-05-24;en;fr;2029-01-03;DINO DUMP
134;018005738;2019-01-03;2019-05-24;en;fr;2029-01-03;DON'T GET GOT
135;018005739;2019-01-03;2019-05-11;es;en;2029-01-03;CAFFEINE EXPRESS
136;018005740;2019-01-03;2019-04-29;en;de;2029-01-03;Lamlingo
137;018005741;2019-01-03;2019-04-30;sv;en;2029-01-03;TEMPTAINER
138;018005742;2019-01-03;2019-05-03;en;es;2029-01-03;VEEV MELLOW TOBACCO
139;018005745;2019-01-03;2020-05-25;en;fr;2029-01-03;SMILEY MONROE
140;018005747;2019-01-03;2019-04-25;sk;en;2029-01-03;KABELLA
141;018005748;2019-01-03;2019-08-14;en;it;2029-01-03;EMERALD MIST
142;018005749;2019-01-03;2019-04-24;it;de;2029-01-03;Cam.TV
143;018005750;2019-01-03;2019-05-22;en;es;2029-01-03;CROOKED EYE
144;018005751;2019-01-03;2019-08-08;en;fr;2029-01-03;ZIP CLIP
145;018005753;2019-01-03;2019-05-22;en;fr;2029-01-03;SYNSPIRA
146;018005759;2019-01-03;2019-07-09;en;es;2029-01-03;TUCCA SWIM
147;018005835;2019-01-02;2019-05-25;en;es;2029-01-02;DREAMWORKS MADAGASCAR: A LITTLE WILD
148;018005836;2019-01-02;2019-04-26;en;fr;2029-01-02;Maison Courch
149;018005837;2019-01-02;2019-05-11;en;it;2029-01-02;TRUE TO THE VINE
150;018005841;2019-01-02;2019-07-17;es;en;2029-01-02;L'ABARSET
151;018005845;2019-01-03;2019-05-07;en;es;2029-01-03;CERTAVE
152;018005846;2019-01-03;2019-04-25;en;fr;2029-01-03;InnoTint
153;018005848;2019-01-03;2019-06-25;nl;en;2029-01-03;RAMPLIFIER
154;018005849;2019-01-03;2019-04-29;de;en;2029-01-03;TVG
155;018005851;2019-01-03;2019-05-23;en;fr;2029-01-03;Summit Metronidazole
156;018005853;2019-01-03;2019-05-22;en;de;2029-01-03;ENFO inside
157;018005854;2019-01-03;2019-05-22;en;de;2029-01-03;iXflow
158;018005855;2019-01-03;2019-05-01;en;de;2029-01-03;PEPSI MAX FOR THE LOVE OF IT
159;018005856;2019-01-03;2019-05-24;fr;en;2029-01-03;REMINISCENCE BIJOUX
160;018005858;2019-01-03;2020-01-09;fr;en;2029-01-03;TECHNEWS&TESTS
161;018005859;2019-01-03;2019-04-19;es;en;2029-01-03;UDDERLEX
162;018005862;2019-01-03;2019-04-19;es;en;2029-01-03;SEDIRON
163;018005863;2019-01-03;2019-05-23;fr;de;2029-01-03;EDILIANS
164;018005866;2019-01-03;2019-06-20;fr;en;2029-01-03;TILKAL
165;018005867;2019-01-03;2019-04-25;en;de;2029-01-03;Northern jewelry
166;018005869;2019-01-03;2020-02-04;nl;en;2029-01-03;MITRON
167;018005871;2019-01-03;2019-05-07;en;de;2029-01-03;HEPPLER
168;018005872;2019-01-03;2019-04-25;en;de;2029-01-03;Waykins
169;018005873;2019-01-03;2019-05-07;en;de;2029-01-03;Z-Z115
170;018005877;2019-04-16;2020-10-20;pt;es;2029-04-16;BASTARD
171;018005879;2019-01-03;2020-02-26;en;de;2029-01-03;Sidegren
172;018005882;2019-01-03;2019-04-25;en;de;2029-01-03;Bohemian Revolt
173;018005883;2019-01-03;2019-04-20;de;en;2029-01-03;Prinz Selberbrennter
174;018005885;2019-01-03;2019-04-25;en;de;2029-01-03;Fawler
175;018005887;2019-01-03;2019-05-07;en;de;2029-01-03;KETSCH 4X
176;018005888;2019-01-03;2019-05-22;en;fr;2029-01-03;CROWN OF MIDAS
177;018005889;2019-01-03;2019-04-25;en;de;2029-01-03;Salt & hide
178;018005891;2019-01-03;2019-05-03;bg;en;2029-01-03;DIAMOND CHERRY
179;018005892;2019-01-03;2019-05-09;pl;de;2029-01-03;sunnypillow
180;018005894;2019-01-03;2019-05-18;nl;en;2029-01-03;BIKKEL
181;018005895;2019-01-03;2019-04-25;en;de;2029-01-03;Moody Mason
182;018005897;2019-01-03;2019-05-22;en;de;2029-01-03;TYL
183;018005900;2019-01-03;2019-06-04;en;it;2029-01-03;X-WRIST
184;018005902;2019-01-03;2019-06-04;en;it;2029-01-03;The World's First Value Energy Platform
185;018005903;2019-01-03;2019-05-22;en;it;2029-01-03;APOLLO
186;018005908;2019-01-03;2019-04-25;en;de;2029-01-03;River Grooming
